size,time(ms)
35600000,2.69369
35700000,2.56561
35800000,2.72262
35900000,2.58196
36000000,2.63537
36100000,2.69143
36200000,2.60485
36300000,2.71158
36400000,2.66195
36500000,2.66585
36600000,2.7623
36700000,1.23497
36800000,2.68259
36900000,2.69729
37000000,2.66074
37100000,2.86658
37200000,2.72095
37300000,2.73481
37400000,3.07243
37500000,2.88371
37600000,2.95322
37700000,2.76416
37800000,2.70228
37900000,1.46202
38000000,2.73627
38100000,2.75213
38200000,2.85101
38300000,2.73317
38400000,2.96611
38500000,2.95939
38600000,2.83488
38700000,2.96761
38800000,2.83854
38900000,2.80023
39000000,1.50521
39100000,2.82835
39200000,2.89938
39300000,2.86247
39400000,2.82884
39500000,3.14499
39600000,3.043
39700000,2.86638
39800000,3.14975
39900000,2.89525
40000000,2.86678
40100000,1.58417
40200000,2.87369
40300000,2.93878
40400000,2.98407
40500000,2.97488
40600000,2.99908
40700000,2.9621
40800000,2.94048
40900000,3.19056
41000000,2.99506
41100000,1.46738
41200000,3.19769
41300000,2.98044
41400000,2.99243
41500000,3.28158
41600000,3.25008
41700000,2.99073
41800000,3.18784
41900000,2.99029
42000000,3.02286
42100000,3.15574
42200000,1.5683
42300000,3.1068
42400000,3.1092
42500000,3.05008
42600000,3.11255
42700000,3.17701
42800000,3.119
42900000,3.19189
43000000,3.25133
43100000,3.07206
43200000,1.68897
43300000,3.22634
43400000,3.10165
43500000,3.2075
43600000,3.21514
43700000,3.14968
43800000,3.15204
43900000,3.29529
44000000,3.14877
44100000,3.18641
44200000,1.93544
44300000,3.22207
44400000,3.19626
44500000,3.40838
44600000,3.23318
44700000,3.31583
44800000,3.42732
44900000,3.29846
45000000,3.20819
45100000,3.48701
45200000,1.80752
45300000,3.23598
45400000,3.38258
45500000,3.48081
45600000,3.36851
45700000,3.37131
45800000,3.42686
45900000,3.27713
46000000,3.32448
46100000,2.12356
46200000,3.38939
46300000,3.31145
46400000,3.52854
46500000,3.41074
46600000,3.29174
46700000,3.58487
46800000,3.4456
46900000,3.32967
47000000,1.92876
47100000,3.55972
47200000,3.38889
47300000,3.39139
47400000,3.73468
47500000,3.7823
47600000,3.42194
47700000,3.58345
