size,time(ms)
100000,0.009516
200000,0.019026
300000,0.0281
400000,0.038315
500000,0.047272
600000,0.058796
700000,0.067026
800000,0.078393
900000,0.087652
1000000,0.104253
1100000,0.105171
1200000,0.114312
1300000,0.124734
1400000,0.131264
1500000,0.144399
1600000,0.152502
1700000,0.161188
1800000,0.174076
1900000,0.181275
2000000,0.189921
2100000,0.19809
2200000,0.211676
2300000,0.217242
2400000,0.227856
2500000,0.234949
2600000,0.243053
2700000,0.252758
2800000,0.265765
2900000,0.275738
3000000,0.28102
3100000,0.296132
3200000,0.302593
3300000,0.310707
3400000,0.322419
3500000,0.329774
3600000,0.339584
3700000,0.34708
3800000,0.362439
3900000,0.368964
4000000,0.378748
4100000,0.388848
4200000,0.393602
4300000,0.41324
4400000,0.411258
4500000,0.42715
4600000,0.439693
4700000,0.444655
4800000,0.452429
4900000,0.462492
5000000,0.470968
5100000,0.480559
5200000,0.491324
5300000,0.50345
5400000,0.5081
5500000,0.526179
5600000,0.539475
5700000,0.539179
5800000,0.547483
5900000,0.566027
6000000,0.574076
6100000,0.576514
6200000,0.587753
6300000,0.599191
6400000,0.603914
6500000,0.613451
6600000,0.619393
6700000,0.640098
6800000,0.649249
6900000,0.660817
7000000,0.667933
7100000,0.669401
7200000,0.684556
7300000,0.695958
7400000,0.696385
7500000,0.713421
7600000,0.720383
7700000,-0.045596
7800000,0.738217
7900000,0.748368
8000000,0.77451
8100000,0.771388
8200000,0.7977
8300000,0.789123
8400000,0.799443
8500000,0.808239
8600000,0.817238
8700000,0.827847
8800000,0.833885
8900000,0.846519
9000000,0.853104
9100000,0.862144
9200000,0.878886
9300000,0.884815
9400000,0.89047
9500000,0.900286
9600000,0.9093
9700000,0.916486
9800000,0.934759
9900000,0.928851
10000000,0.942953
10100000,0.96304
10200000,0.957297
10300000,0.97689
10400000,0.979392
10500000,0.995392
10600000,1.03349
10700000,1.01162
10800000,1.02201
10900000,1.03286
11000000,1.04963
11100000,1.06222
11200000,1.0649
11300000,0.318485
11400000,1.09435
11500000,1.08348
11600000,1.10178
11700000,1.11144
11800000,1.11802
11900000,1.13199
12000000,1.14041
12100000,1.15032
12200000,1.15762
12300000,1.18607
12400000,1.20267
12500000,1.19687
12600000,1.19941
12700000,1.20981
12800000,1.21189
12900000,1.26252
13000000,1.26211
13100000,1.28438
13200000,1.26912
13300000,1.25647
13400000,1.27752
13500000,1.29793
13600000,1.29534
13700000,1.30509
13800000,1.31145
13900000,1.33481
14000000,0.541222
14100000,1.32799
14200000,1.3431
14300000,1.36928
14400000,1.36041
14500000,1.38205
14600000,1.38328
14700000,1.40912
14800000,1.40752
14900000,1.40864
15000000,1.42605
15100000,1.43531
15200000,1.44511
15300000,1.46334
15400000,1.46409
15500000,1.47226
15600000,1.4936
15700000,1.50421
15800000,1.50185
15900000,1.51052
16000000,1.55316
16100000,1.5515
16200000,0.710837
16300000,1.53585
16400000,1.54696
16500000,1.54168
16600000,1.57148
16700000,1.5763
16800000,1.58855
16900000,1.61625
17000000,1.63532
17100000,1.6284
17200000,1.64982
17300000,1.66808
17400000,1.6469
17500000,1.6452
17600000,1.67526
17700000,1.68235
17800000,1.68531
17900000,1.70811
18000000,1.69764
18100000,1.69865
