size,time(ms)
100000,0.009452
200000,0.017465
300000,0.025258
400000,0.032403
500000,0.040881
600000,0.051342
700000,0.054539
800000,0.063214
900000,0.070729
1000000,0.078515
1100000,0.086782
1200000,0.095834
1300000,0.104422
1400000,0.107757
1500000,0.114976
1600000,0.122008
1700000,0.13288
1800000,0.136886
1900000,0.147689
2000000,0.157265
2100000,0.159301
2200000,0.167562
2300000,0.174102
2400000,0.181249
2500000,0.19454
2600000,0.208722
2700000,0.231697
2800000,0.216841
2900000,0.222798
3000000,0.25257
3100000,0.238151
3200000,0.246356
3300000,0.25605
3400000,0.260303
3500000,0.266119
3600000,0.276075
3700000,0.280462
3800000,0.328251
3900000,0.297425
4000000,0.301561
4100000,0.309681
4200000,0.316448
4300000,0.330044
4400000,0.341274
4500000,0.406547
4600000,0.348377
4700000,0.366615
4800000,0.365927
4900000,0.376347
5000000,0.387224
5100000,0.447878
5200000,0.407118
5300000,0.40809
5400000,0.423511
5500000,0.519509
5600000,0.54173
5700000,0.461388
5800000,0.465071
5900000,0.466441
6000000,0.485162
6100000,0.580042
6200000,0.499237
6300000,0.488688
6400000,0.49991
6500000,0.714877
6600000,0.544392
6700000,0.524624
6800000,0.558551
6900000,0.524088
7000000,0.544459
7100000,0.544142
7200000,0.608261
7300000,0.56236
7400000,0.575186
7500000,0.568021
7600000,0.663357
7700000,0.599422
7800000,0.593
7900000,0.612226
8000000,-0.696069
8100000,0.618376
8200000,0.618909
8300000,0.721583
8400000,0.661095
8500000,0.643981
8600000,0.748299
8700000,0.673572
8800000,0.694365
8900000,0.778175
9000000,0.68976
9100000,0.699712
9200000,0.801643
9300000,0.703489
9400000,0.734104
9500000,0.737218
9600000,0.737729
9700000,0.773996
9800000,0.746547
9900000,0.759663
10000000,0.835314
10100000,0.77387
10200000,0.781167
10300000,0.867477
10400000,0.796642
10500000,0.811379
10600000,0.902157
10700000,0.823626
10800000,0.83362
10900000,0.855872
11000000,0.844444
11100000,0.990692
11200000,0.853493
11300000,0.974125
11400000,0.865779
11500000,0.939145
11600000,0.892132
11700000,0.888667
11800000,1.01634
11900000,0.923729
12000000,-0.36616
12100000,0.96319
12200000,1.03002
12300000,0.938016
12400000,1.04413
12500000,0.949466
12600000,1.06333
12700000,1.00787
12800000,1.06866
12900000,0.997528
13000000,1.13167
13100000,1.03203
13200000,1.16185
13300000,1.02019
13400000,1.16756
13500000,1.02511
13600000,1.20241
13700000,1.08613
13800000,1.05764
13900000,1.0915
14000000,1.08353
14100000,1.12542
14200000,1.10943
14300000,1.12912
14400000,1.10761
14500000,1.17045
14600000,1.1054
14700000,1.17406
14800000,1.11931
14900000,1.21203
15000000,-0.28668
15100000,1.25009
15200000,1.1523
15300000,1.28528
15400000,1.16588
15500000,1.3067
15600000,1.28515
15700000,1.22011
15800000,1.31319
15900000,1.27768
16000000,1.38014
16100000,1.36642
16200000,1.26668
16300000,1.34359
16400000,1.25705
16500000,1.40487
16600000,1.36752
16700000,1.28052
16800000,1.44247
16900000,1.40097
17000000,1.28676
17100000,1.42259
17200000,1.40346
17300000,1.31954
17400000,0.069006
17500000,1.43857
17600000,1.35255
17700000,1.48603
17800000,1.50059
17900000,1.39084
18000000,1.52346
18100000,1.51327
18200000,1.44898
18300000,1.41279
18400000,1.56146
18500000,1.48473
18600000,1.42406
18700000,1.53996
18800000,1.57082
18900000,1.47893
19000000,1.43727
19100000,1.59913
19200000,1.57845
19300000,1.502
19400000,1.59775
19500000,1.61336
19600000,0.283428
19700000,1.54539
19800000,1.53316
19900000,1.66203
20000000,1.64908
20100000,1.6039
20200000,1.56197
20300000,1.6742
20400000,1.66419
20500000,1.68269
20600000,1.58534
20700000,1.75363
20800000,1.74472
20900000,1.73831
21000000,1.64701
21100000,1.65657
21200000,1.78854
21300000,1.78826
21400000,1.7769
21500000,0.43522
21600000,1.73222
21700000,1.66132
21800000,1.66746
21900000,1.81065
22000000,1.80162
22100000,1.82053
22200000,1.82233
22300000,1.74512
22400000,1.73718
22500000,1.73355
22600000,1.85817
22700000,1.88061
22800000,1.84731
22900000,1.8463
23000000,1.8674
23100000,1.87133
23200000,1.85123
23300000,0.439495
23400000,1.88215
23500000,1.90786
23600000,1.92972
23700000,1.96291
23800000,1.90161
23900000,1.95846
24000000,1.9519
24100000,1.92699
24200000,1.9467
24300000,1.92487
24400000,1.98374
24500000,1.941
24600000,1.88202
24700000,1.99408
24800000,2.0088
24900000,0.630385
25000000,2.00396
25100000,2.01835
25200000,2.02844
25300000,2.0457
25400000,2.02778
25500000,2.04367
25600000,2.06091
25700000,2.0558
25800000,2.10638
25900000,2.06134
26000000,2.07453
26100000,2.08793
26200000,2.09696
26300000,2.09197
26400000,2.09432
26500000,0.762075
26600000,2.11736
26700000,2.14009
26800000,2.05861
26900000,2.07776
27000000,2.06157
27100000,2.14506
27200000,2.09939
27300000,2.08431
27400000,2.16782
27500000,2.11284
27600000,2.11361
27700000,2.1502
27800000,2.12409
27900000,2.21153
28000000,0.777916
28100000,2.21229
28200000,2.21093
28300000,2.1997
28400000,2.24201
28500000,2.22155
28600000,2.25202
28700000,2.26352
28800000,2.2767
28900000,2.43737
29000000,2.41659
29100000,2.27451
29200000,2.29339
29300000,2.30672
29400000,0.945656
29500000,2.3348
29600000,2.33957
29700000,2.4025
29800000,2.31433
29900000,2.35876
30000000,2.33075
30100000,2.38623
30200000,2.37157
30300000,2.40939
30400000,2.38903
30500000,2.36756
30600000,2.37957
30700000,1.05114
30800000,2.42144
30900000,2.44737
31000000,2.46332
31100000,2.44234
31200000,2.42784
31300000,2.5066
31400000,2.4551
31500000,2.48801
31600000,2.45978
31700000,2.48987
31800000,2.50543
31900000,2.50949
32000000,1.16096
32100000,2.51732
32200000,2.50172
32300000,2.54308
32400000,2.73365
32500000,2.60965
32600000,2.76324
32700000,2.64337
32800000,2.62395
32900000,2.54543
33000000,2.58382
33100000,2.57952
33200000,2.60271
33300000,1.16606
33400000,2.59986
33500000,2.62068
33600000,2.63621
33700000,2.64058
33800000,2.67678
33900000,2.65866
34000000,2.69233
34100000,2.71105
34200000,2.70714
34300000,2.70417
34400000,2.69396
34500000,1.27496
34600000,2.71794
34700000,2.72126
34800000,2.69327
34900000,2.72695
35000000,2.75984
35100000,2.77693
35200000,2.7579
35300000,2.78657
35400000,2.75765
35500000,2.78349
35600000,1.44216
35700000,2.83447
35800000,2.84671
35900000,2.83867
36000000,2.84732
36100000,2.86571
36200000,2.89645
36300000,2.89375
36400000,2.88263
36500000,2.92387
36600000,2.89846
36700000,1.51924
36800000,2.93127
36900000,2.93449
37000000,2.94009
37100000,2.95392
37200000,2.94793
37300000,2.92658
37400000,2.94342
37500000,2.9971
37600000,2.94184
37700000,3.00022
37800000,1.6053
37900000,3.00162
38000000,2.95735
38100000,3.00366
38200000,3.11075
38300000,3.00901
38400000,3.05256
38500000,3.04828
38600000,3.04618
38700000,3.06654
38800000,3.11791
38900000,1.69679
39000000,3.10782
39100000,3.08798
39200000,3.15439
39300000,3.12133
39400000,3.16903
39500000,3.1876
39600000,3.59504
39700000,3.17131
39800000,3.17143
39900000,1.78029
40000000,3.14679
40100000,3.24606
40200000,3.14059
40300000,3.14328
40400000,3.19757
40500000,3.38225
40600000,3.19044
40700000,3.17267
40800000,3.17842
40900000,1.82275
41000000,3.23226
41100000,3.1978
41200000,3.19752
41300000,3.22275
41400000,3.22914
41500000,3.27729
41600000,3.22989
41700000,3.27359
41800000,1.88123
41900000,3.28936
42000000,3.29333
42100000,3.28932
42200000,3.30676
42300000,3.322
42400000,3.37758
42500000,3.34702
42600000,3.36649
42700000,3.37413
42800000,1.96668
42900000,3.34725
43000000,3.34023
43100000,3.42621
43200000,3.42933
43300000,3.46622
43400000,3.48495
43500000,3.47716
43600000,3.47254
43700000,2.09791
43800000,3.45616
43900000,3.57146
44000000,3.51095
44100000,3.53512
44200000,3.53239
44300000,3.56183
44400000,3.55274
44500000,3.54771
44600000,2.1389
44700000,3.636
44800000,3.53739
44900000,3.63681
45000000,3.5625
45100000,3.63932
45200000,3.58711
45300000,3.66817
45400000,3.59577
45500000,2.21811
45600000,3.64726
45700000,3.63234
45800000,3.65032
45900000,3.62541
46000000,3.63538
46100000,3.65387
46200000,3.6917
46300000,3.69954
46400000,2.33292
46500000,3.66333
46600000,3.71513
46700000,3.70065
46800000,3.72457
46900000,3.76904
47000000,3.78807
47100000,3.75678
47200000,3.88928
47300000,2.45439
47400000,3.8194
47500000,3.80891
47600000,3.9298
47700000,3.82271
47800000,3.84484
47900000,3.84636
48000000,3.82325
48100000,2.54634
48200000,3.83132
48300000,3.83322
48400000,3.89457
48500000,3.90011
48600000,3.90436
48700000,3.86326
48800000,4.01496
48900000,2.72923
49000000,3.93099
49100000,3.89388
49200000,3.91132
49300000,3.908
49400000,3.98433
49500000,3.95708
49600000,4.02574
49700000,2.48564
49800000,3.94001
49900000,3.88054
50000000,4.01626
50100000,4.04746
50200000,3.96903
50300000,4.00197
50400000,4.03056
50500000,2.56878
50600000,3.97794
50700000,4.05796
50800000,4.02595
50900000,4.05835
51000000,4.03361
51100000,4.03575
51200000,4.05181
51300000,2.72509
51400000,4.05213
51500000,4.07827
51600000,4.11913
51700000,4.11971
51800000,4.12176
51900000,4.12453
52000000,4.13059
52100000,2.7418
52200000,4.08487
52300000,4.18985
52400000,4.15939
52500000,4.21073
52600000,4.2196
52700000,4.23297
52800000,2.77195
52900000,4.20295
53000000,4.21933
53100000,4.19065
53200000,4.18424
53300000,4.21884
53400000,4.32766
53500000,4.39105
53600000,2.82555
53700000,4.23846
53800000,4.3597
53900000,4.32086
54000000,4.24918
54100000,4.30446
54200000,4.44634
54300000,2.90593
54400000,4.31411
54500000,4.49173
54600000,4.34685
54700000,4.34483
54800000,4.50744
54900000,4.48521
55000000,4.3564
55100000,3.04539
55200000,4.47401
55300000,4.36475
55400000,4.45312
55500000,4.4245
55600000,4.43203
55700000,4.51394
55800000,3.01032
55900000,4.41796
56000000,4.56565
56100000,4.52031
56200000,4.81121
56300000,4.75796
56400000,4.42554
56500000,3.14982
56600000,4.47774
56700000,4.51906
56800000,4.60738
56900000,4.6966
57000000,4.62064
57100000,4.54053
57200000,3.19471
57300000,4.56308
57400000,4.59942
57500000,4.75924
57600000,4.6866
57700000,4.74592
57800000,4.57699
57900000,3.19911
58000000,4.56952
58100000,4.64704
58200000,4.6318
58300000,4.6113
58400000,4.78435
58500000,4.7402
58600000,3.32538
58700000,4.66761
58800000,4.83972
58900000,4.77983
59000000,4.78528
59100000,4.64987
59200000,3.39893
59300000,4.701
59400000,4.7383
59500000,4.68586
59600000,4.80149
59700000,4.79484
59800000,4.85015
59900000,3.26429
60000000,4.8263
60100000,4.72033
60200000,4.82252
60300000,4.75494
60400000,4.87338
60500000,4.78011
60600000,3.46553
60700000,4.83771
60800000,4.9701
60900000,4.7928
61000000,4.95819
61100000,4.85084
61200000,4.91667
61300000,3.39671
61400000,4.93358
61500000,5.01917
61600000,4.94948
61700000,4.97867
61800000,4.86738
61900000,3.64075
62000000,4.9285
62100000,5.03582
62200000,4.92834
62300000,5.02259
62400000,4.96909
62500000,4.92547
62600000,3.56795
62700000,4.89034
62800000,5.19287
62900000,5.21618
63000000,5.10074
63100000,5.02956
63200000,3.52262
63300000,5.18528
63400000,5.13919
63500000,5.16664
63600000,5.01065
63700000,5.0438
63800000,3.85288
63900000,5.25039
64000000,5.2382
64100000,5.14691
64200000,5.19864
64300000,5.22501
64400000,3.74444
64500000,5.30303
64600000,5.3718
64700000,5.12766
64800000,5.2782
64900000,5.1367
65000000,3.77772
65100000,5.14414
65200000,5.26373
65300000,5.43904
65400000,5.23184
65500000,5.24133
65600000,3.89538
65700000,5.19865
65800000,5.43959
65900000,5.23964
66000000,5.23412
66100000,5.46054
66200000,3.8817
66300000,5.26353
66400000,5.45761
66500000,5.46272
66600000,5.43286
66700000,5.4043
66800000,3.74804
66900000,5.49045
67000000,5.57661
67100000,5.33998
67200000,5.48472
67300000,5.38564
67400000,4.03798
67500000,5.65981
67600000,5.62344
67700000,5.42374
67800000,5.58396
67900000,5.47152
68000000,3.97279
68100000,5.64147
68200000,5.84678
68300000,5.40958
68400000,5.62436
68500000,5.79545
68600000,4.3937
68700000,5.59237
68800000,5.49908
68900000,5.46983
69000000,5.62329
69100000,4.31659
69200000,5.45847
69300000,5.60393
69400000,5.51443
69500000,5.47055
69600000,5.5978
69700000,4.15845
69800000,5.57078
69900000,5.63822
70000000,5.63094
70100000,5.56437
70200000,5.6252
70300000,4.32406
70400000,5.75403
70500000,5.60778
70600000,5.81512
70700000,5.66965
70800000,4.50283
70900000,5.89572
71000000,5.9813
71100000,5.61653
71200000,5.81578
71300000,5.78856
71400000,4.29733
71500000,5.75418
71600000,5.83731
71700000,5.73524
71800000,5.73155
71900000,4.43334
72000000,6.11673
72100000,5.85784
72200000,5.88776
72300000,5.90372
72400000,5.73379
72500000,4.2488
72600000,5.92598
72700000,5.97354
72800000,5.77125
72900000,5.87184
73000000,4.49458
73100000,5.90145
73200000,5.78701
73300000,5.99859
73400000,6.1641
73500000,4.47214
73600000,5.87293
73700000,6.02072
73800000,6.21403
73900000,5.8709
74000000,5.97553
74100000,4.63404
74200000,6.00745
74300000,5.9059
74400000,6.05714
74500000,6.20002
74600000,4.51288
74700000,5.90743
74800000,6.11109
74900000,6.10567
75000000,6.08281
75100000,4.64053
75200000,6.19469
75300000,6.18731
75400000,6.14026
75500000,6.07444
75600000,4.80925
75700000,6.24562
75800000,6.12878
75900000,6.17901
76000000,6.37617
76100000,4.72157
76200000,6.06558
76300000,6.16678
76400000,6.37716
76500000,6.38527
76600000,6.1469
76700000,4.66937
76800000,6.34905
76900000,6.23716
77000000,6.21122
77100000,6.2477
77200000,4.96664
77300000,6.34905
77400000,6.32907
77500000,6.23031
77600000,6.37569
77700000,4.9604
77800000,6.27444
77900000,6.21388
78000000,6.37406
78100000,6.55119
78200000,4.87346
78300000,6.2484
78400000,6.39128
78500000,6.52599
78600000,6.41136
78700000,4.94308
78800000,6.38341
78900000,6.56657
79000000,6.44498
79100000,6.41128
79200000,4.91816
79300000,6.52888
79400000,6.60971
79500000,6.50144
79600000,4.87703
79700000,6.50069
79800000,6.61018
79900000,6.61144
80000000,6.49348
80100000,4.97336
80200000,6.53602
80300000,6.65801
80400000,6.49073
80500000,6.50127
80600000,5.09822
80700000,6.68664
80800000,6.77259
80900000,6.61391
81000000,6.45481
81100000,5.11056
81200000,6.80009
81300000,6.83625
81400000,6.63179
81500000,6.58355
81600000,5.27782
81700000,6.79674
81800000,6.67418
81900000,6.65556
82000000,6.7383
82100000,5.33992
82200000,6.75176
82300000,6.72305
82400000,6.64377
82500000,5.2467
82600000,6.92845
82700000,6.79194
82800000,6.77784
82900000,6.70482
83000000,5.32399
83100000,6.99392
83200000,6.90168
83300000,6.84237
83400000,6.68032
83500000,5.31451
83600000,7.07133
83700000,6.94427
83800000,6.81877
83900000,5.22965
84000000,6.87767
84100000,7.11787
84200000,6.92325
84300000,6.85191
84400000,5.24121
84500000,6.84651
84600000,7.25945
84700000,6.93865
84800000,6.94931
84900000,5.36639
85000000,6.95256
85100000,7.1493
85200000,6.90752
85300000,5.49053
85400000,7.20317
85500000,7.00359
85600000,7.30457
85700000,7.07319
85800000,5.54803
85900000,6.93828
86000000,7.03566
86100000,7.47389
86200000,5.64359
86300000,7.0267
86400000,7.17195
86500000,6.96019
86600000,7.3972
86700000,5.83898
86800000,7.2969
86900000,7.09935
87000000,6.99602
87100000,5.719
87200000,7.49131
87300000,7.13853
87400000,7.09078
87500000,5.64728
87600000,7.04331
87700000,7.24141
87800000,7.51508
87900000,7.13147
88000000,5.6206
88100000,7.08084
88200000,7.25875
88300000,7.59265
88400000,5.92768
88500000,7.29723
88600000,7.24261
88700000,7.18166
88800000,7.33805
88900000,7.53805
89000000,7.75449
89100000,7.71245
89200000,7.41843
89300000,5.74263
89400000,7.36998
89500000,7.69912
89600000,7.84999
89700000,5.99468
89800000,7.41663
89900000,7.24639
90000000,7.5514
90100000,6.10394
90200000,7.74784
90300000,7.44192
90400000,7.46176
90500000,5.7588
90600000,7.54525
90700000,8.09685
90800000,7.51123
90900000,7.44878
91000000,6.00932
91100000,7.42825
91200000,7.74861
91300000,7.80632
91400000,6.33861
91500000,7.6321
91600000,7.40064
91700000,7.45925
91800000,6.15039
91900000,8.29684
92000000,7.74892
92100000,7.726
92200000,5.94501
92300000,7.45288
92400000,7.74804
92500000,8.25072
92600000,6.22705
92700000,7.6853
92800000,7.48671
92900000,7.41828
93000000,6.29255
93100000,7.94001
93200000,7.88873
93300000,7.80666
93400000,7.56072
93500000,6.0327
93600000,7.7546
93700000,8.11294
93800000,8.10855
93900000,6.23396
94000000,7.70704
94100000,7.5887
94200000,7.63511
94300000,6.39599
94400000,8.2544
94500000,7.83842
94600000,7.75908
94700000,6.06014
94800000,7.57864
94900000,7.98538
95000000,8.28872
95100000,6.64767
95200000,8.08283
95300000,7.90243
95400000,7.6661
95500000,6.32189
95600000,8.06593
95700000,8.48913
95800000,7.96656
95900000,6.46228
96000000,7.81794
96100000,7.74956
96200000,7.93957
96300000,6.67406
96400000,8.16903
96500000,8.24355
96600000,8.12045
96700000,6.26881
96800000,7.81742
96900000,8.13223
97000000,8.85352
97100000,6.6574
97200000,8.18188
97300000,7.91961
97400000,7.87626
97500000,6.36469
97600000,8.19812
97700000,9.00576
97800000,8.24023
97900000,6.69061
98000000,7.95226
98100000,7.83454
98200000,7.95772
98300000,6.61649
98400000,8.70669
98500000,8.32466
98600000,8.13416
98700000,6.37809
98800000,7.96501
98900000,8.30293
99000000,7.0926
99100000,8.41575
99200000,8.32269
99300000,8.20877
99400000,6.57484
99500000,8.05903
99600000,8.13882
99700000,8.90691
99800000,7.1361
99900000,8.39277
100000000,8.09895
