10,0.1
20,0.36
30,0.96
40,1.68
50,2.15
60,3.98
70,5.17
80,7.02
90,8.55
100,11.14
110,12.45
120,14.36
130,15.03
140,17.87
150,19.19
160,22.08
170,24.98
180,28.13
190,29.92
200,33.59
210,38.4
220,42.6
230,41.95
240,45.81
250,50.02
260,56.83
270,63.3
280,62.24
290,68.44
300,73.2
400,124
500,193
600,281
700,376
800,491
900,621
1000,828
1100,966
1200,1168
1300,1397
1400,1601
1500,1934
1600,2304
1700,2457
1800,3070
1900,3327
2000,3763
2100,4397
2200,4577
2300,5335
2400,5488
2500,6483
2600,6469
2700,6984
2800,7441
2900,7876
3000,8357
3100,9015
3200,9674
3300,10206
3400,10851
3500,11512
3600,12668
3700,12595
3800,13647
3900,13967
4000,15571
4100,15783
4200,16650
4300,18335
4400,18185
4500,19328
4600,20010
4700,20280
4800,21492
4900,21369
5000,21448
