10,0.1
20,0.36
30,0.8
40,1.38
50,2.15
60,3.07
70,4.18
80,5.51
90,7.14
100,9.2
110,10.52
120,12.43
130,13.27
140,17.94
150,20.25
160,22.83
170,25.87
180,29.68
190,31.93
200,36.03
210,40.05
220,43.56
230,45.54
240,48.22
250,53.45
260,57.65
270,68.6
280,65.72
290,70.64
300,78.18
400,130
500,199
600,290
700,385
800,498
900,637
1000,784
1100,926
1200,1117
1300,1368
1400,1585
1500,1813
1600,2089
1700,3649
1800,2763
1900,3227
2000,3904
2100,4231
2200,4698
2300,4861
2400,5813
2500,5940
2600,6672
2700,7194
2800,7434
2900,7714
3000,8198
3100,8976
3200,9690
3300,10234
3400,10696
3500,12096
3600,12476
3700,13183
3800,14404
3900,14797
4000,15487
4100,15428
4200,16669
4300,17273
4400,18370
4500,19999
4600,21030
4700,21170
4800,21821
4900,23171
5000,21653
