10,0.16
20,0.66
30,1.73
40,4.41
50,6.21
60,9.76
70,12.96
80,17.28
90,19.83
100,23.87
110,30.56
120,34.74
130,39.48
140,42.81
150,49.48
160,55.54
170,62.77
180,70.74
190,81.76
200,87.93
210,96.56
220,106.28
230,116.55
240,126.83
250,138.38
260,149.09
270,174.7
280,184.31
290,195.51
300,200.04
400,381
500,585
600,899
700,1201
800,1653
900,2011
1000,2365
1100,2856
1200,4368
1300,5800
1400,5517
1500,6764
1600,8468
1700,10342
1800,10983
1900,14514
2000,15861
2100,19096
2200,20494
2300,25437
2400,25811
2500,27897
2600,30159
2700,32791
2800,35103
2900,38138
3000,40899
3100,44079
3200,46537
3300,50409
3400,51971
3500,55359
3600,59977
3700,63148
3800,67263
3900,68963
4000,73769
4100,77668
4200,79977
4300,88525
4400,88401
4500,92754
4600,100083
4700,103044
4800,104548
4900,110533
5000,115805
