10,0.09
20,0.36
30,0.79
40,1.38
50,2.14
60,3.09
70,5.42
80,6.97
90,8.49
100,12.54
110,12.51
120,14.03
130,15.2
140,17.58
150,19.93
160,22.63
170,25.23
180,28.63
190,31.52
200,35.11
210,37.26
220,41.94
230,45.32
240,48.92
250,52.83
260,56.44
270,63.26
280,72.89
290,73.01
300,79.48
400,130
500,200
600,281
700,373
800,497
900,616
1000,773
1100,953
1200,1110
1300,1318
1400,1568
1500,1833
1600,2096
1700,2702
1800,2787
1900,3246
2000,3698
2100,4096
2200,5046
2300,5054
2400,5398
2500,6172
2600,6467
2700,6750
2800,7712
2900,8579
3000,8672
3100,9357
3200,9619
3300,10145
3400,11148
3500,12067
3600,12501
3700,12635
3800,13736
3900,14080
4000,15390
4100,15875
4200,16846
4300,18263
4400,18821
4500,19831
4600,21277
4700,21036
4800,21201
4900,21899
5000,21255
