10,0.1
20,0.36
30,0.79
40,1.39
50,2.15
60,3.11
70,5.57
80,7.29
90,8.86
100,10.6
110,12.67
120,15.85
130,21.34
140,19.69
150,22.47
160,28.56
170,24.86
180,27.14
190,31.11
200,33.82
210,35.99
220,42.4
230,46.45
240,47.26
250,51.85
260,55
270,60.21
280,70.26
290,71.45
300,76.02
400,130
500,200
600,285
700,384
800,484
900,612
1000,759
1100,913
1200,1111
1300,1319
1400,1514
1500,1858
1600,2219
1700,2458
1800,2857
1900,3280
2000,3940
2100,4119
2200,4661
2300,5085
2400,5443
2500,6196
2600,6374
2700,7040
2800,7221
2900,8312
3000,8675
3100,9393
3200,9573
3300,10661
3400,11032
3500,11640
3600,12318
3700,12877
3800,13436
3900,14897
4000,15781
4100,16580
4200,17849
4300,19055
4400,19586
4500,19785
4600,20305
4700,21381
4800,20747
4900,21350
5000,21726
